Customer ID,Date,Time,Item,Quantity,Price,Payment Method,Customer Satisfaction,Weather,Temperature (°C),Total Amount
6604633312,2025-10-29,14:50,Coffee,2,25.0,Cash,3,Sunny,33,50
8832067998,2025-10-29,11:25,Salad,3,50.0,Cash,5,Cloudy,24,150
7153136363,2025-10-08,11:30,Sandwich,4,45.0,Cash,3,Sunny,35,180
7584143842,2025-10-13,13:35,Tea,1,10.0,Mobile Payment,4,Sunny,34,10
8946519098,2025-10-16,13:40,Maggi,1,35.0,Mobile Payment,4,Sunny,31,35
8979270335,2025-10-22,13:55,Salad,3,50.0,Card,3,Sunny,36,150
8787005050,2025-10-20,14:20,Burger,3,55.0,Cash,5,Sunny,33,165
8333395211,2025-10-17,14:05,Samosa,1,20.0,Cash,4,Sunny,36,20
8543937690,2025-10-01,12:10,Dosa,1,45.0,Card,4,Rainy,24,45
9868793741,2025-10-04,12:30,Idli,1,30.0,Mobile Payment,5,Rainy,21,30
8138999404,2025-10-09,12:25,Salad,2,50.0,Cash,4,Cloudy,28,100
7894484631,2025-10-03,14:35,Samosa,2,20.0,Cash,4,Cloudy,28,40
8036900343,2025-10-04,11:10,Drink,1,15.0,Card,4,Cloudy,31,15
7445107622,2025-10-19,12:10,Salad,1,50.0,Cash,3,Cloudy,25,50
7816158148,2025-10-03,14:00,Sandwich,1,45.0,Cash,5,Sunny,31,45
7400842710,2025-10-18,12:45,Tea,1,10.0,Mobile Payment,3,Cloudy,26,10
8512405682,2025-10-29,14:00,Dosa,2,45.0,Cash,5,Cloudy,31,90
8544432830,2025-10-03,14:40,Dosa,2,45.0,Mobile Payment,5,Rainy,23,90
6878141413,2025-10-31,12:20,Tea,1,10.0,Mobile Payment,4,Sunny,36,10
8394237333,2025-10-03,12:00,Salad,1,50.0,Mobile Payment,3,Sunny,32,50
8137098593,2025-10-08,14:15,Idli,1,30.0,Mobile Payment,5,Sunny,37,30
9908272318,2025-10-29,11:50,Drink,1,15.0,Cash,3,Sunny,30,15
9189490580,2025-10-21,12:40,Samosa,1,20.0,Cash,3,Cloudy,25,20
8135427849,2025-10-29,12:30,Sandwich,2,45.0,Card,5,Cloudy,28,90
8451870534,2025-10-21,13:10,Dosa,1,45.0,Mobile Payment,3,Cloudy,30,45
9190659401,2025-10-26,13:30,Dosa,1,45.0,Cash,5,Rainy,20,45
6373678508,2025-10-02,13:45,Drink,1,15.0,Card,1,Cloudy,27,15
8940781618,2025-10-25,11:35,Maggi,1,35.0,Mobile Payment,1,Cloudy,27,35
7513534655,2025-10-23,13:30,Burger,1,55.0,Cash,3,Rainy,25,55
6878141413,2025-10-08,14:00,Coffee,1,25.0,Cash,5,Sunny,34,25
6345054156,2025-10-02,13:45,Burger,1,55.0,Cash,3,Sunny,38,55
6331739363,2025-10-06,14:50,Drink,1,15.0,Mobile Payment,3,Rainy,20,15
8487099861,2025-10-04,14:15,Dosa,2,45.0,Mobile Payment,4,Rainy,22,90
9357438421,2025-10-03,11:45,Maggi,2,35.0,Mobile Payment,5,Sunny,37,70
8451870534,2025-10-14,11:15,Idli,2,30.0,Mobile Payment,2,Sunny,30,60
9829456511,2025-10-01,11:30,Drink,2,15.0,Cash,2,Cloudy,31,30
8710276773,2025-10-25,14:10,Salad,1,50.0,Card,3,Sunny,38,50
7946671168,2025-10-20,14:45,Tea,3,10.0,Card,3,Cloudy,29,30
8103865719,2025-10-15,14:40,Burger,1,55.0,Mobile Payment,3,Sunny,35,55
7858842474,2025-10-10,14:15,Salad,1,50.0,Cash,3,Sunny,32,50
6278681447,2025-10-21,11:05,Salad,1,50.0,Mobile Payment,3,Sunny,34,50
7799650752,2025-10-08,14:45,Tea,3,10.0,Card,3,Sunny,30,30
9868793741,2025-10-18,12:30,Sandwich,1,45.0,Card,4,Rainy,25,45
6137995635,2025-10-25,11:55,Tea,1,10.0,Mobile Payment,3,Sunny,31,10
6878141413,2025-10-08,14:55,Maggi,2,35.0,Card,3,Rainy,24,70
9974801624,2025-10-21,14:40,Idli,1,30.0,Cash,3,Sunny,32,30
9153966958,2025-10-22,12:05,Maggi,1,35.0,Card,5,Sunny,35,35
9661889241,2025-10-30,13:00,Samosa,3,20.0,Mobile Payment,4,Cloudy,26,60
6201836675,2025-10-09,12:50,Dosa,2,45.0,Mobile Payment,5,Cloudy,27,90
9190659401,2025-10-16,13:25,Samosa,2,20.0,Cash,4,Sunny,35,40
9153051522,2025-10-13,13:45,Coffee,1,25.0,Card,3,Sunny,36,25
9528168505,2025-10-01,11:10,Sandwich,1,45.0,Cash,5,Sunny,30,45
7748969108,2025-10-17,12:40,Dosa,1,45.0,Card,3,Sunny,30,45
7316373516,2025-10-31,14:30,Samosa,2,20.0,Cash,3,Cloudy,30,40
9925132719,2025-10-08,14:50,Maggi,2,35.0,Mobile Payment,2,Sunny,37,70
6172980686,2025-10-05,11:25,Coffee,1,25.0,Mobile Payment,4,Rainy,24,25
9947284639,2025-10-20,12:10,Samosa,1,20.0,Card,4,Sunny,32,20
9010822078,2025-10-05,12:25,Sandwich,2,45.0,Card,3,Sunny,37,90
9717535560,2025-10-28,14:15,Maggi,1,35.0,Cash,4,Sunny,33,35
8371478596,2025-10-14,12:00,Salad,3,50.0,Mobile Payment,5,Rainy,25,150
9719855460,2025-10-16,13:45,Samosa,1,20.0,Card,4,Rainy,20,20
6422325367,2025-10-13,14:35,Maggi,2,35.0,Cash,4,Cloudy,28,70
8026811775,2025-10-12,12:10,Burger,1,55.0,Cash,4,Sunny,32,55
6162249998,2025-10-24,11:55,Dosa,4,45.0,Cash,3,Rainy,22,180
8155216674,2025-10-10,11:10,Tea,2,10.0,Card,5,Cloudy,31,20
7927524372,2025-10-18,14:00,Sandwich,1,45.0,Cash,5,Sunny,34,45
7241797497,2025-10-11,13:20,Samosa,1,20.0,Mobile Payment,5,Cloudy,29,20
6199488375,2025-10-18,12:20,Samosa,1,20.0,Cash,4,Cloudy,31,20
6199867980,2025-10-18,14:30,Dosa,1,45.0,Cash,4,Rainy,25,45
6305486874,2025-10-26,13:15,Maggi,1,35.0,Cash,2,Sunny,30,35
8958887947,2025-10-24,12:25,Drink,1,15.0,Mobile Payment,3,Sunny,38,15
6878141413,2025-10-09,13:45,Dosa,1,45.0,Card,3,Rainy,27,45
7235697252,2025-10-09,14:00,Sandwich,3,45.0,Card,4,Sunny,35,135
7584143842,2025-10-29,14:05,Drink,1,15.0,Cash,4,Sunny,31,15
7756798250,2025-10-15,14:55,Salad,1,50.0,Card,5,Sunny,35,50
7201632870,2025-10-21,11:55,Sandwich,1,45.0,Card,2,Sunny,31,45
6570184094,2025-10-16,11:50,Sandwich,3,45.0,Cash,4,Sunny,37,135
7524191380,2025-10-17,12:35,Sandwich,2,45.0,Mobile Payment,5,Cloudy,32,90
6143634957,2025-10-21,13:50,Burger,1,55.0,Card,3,Cloudy,32,55
6124903521,2025-10-25,11:10,Tea,1,10.0,Mobile Payment,4,Sunny,34,10
8658404499,2025-10-23,12:00,Coffee,1,25.0,Card,3,Sunny,33,25
6318699938,2025-10-16,13:15,Coffee,1,25.0,Cash,4,Cloudy,30,25
8562386922,2025-10-13,11:40,Salad,1,50.0,Card,1,Rainy,27,50
9558556659,2025-10-09,12:20,Tea,1,10.0,Card,4,Sunny,34,10
7524191380,2025-10-11,14:05,Maggi,2,35.0,Cash,3,Cloudy,29,70
9137918055,2025-10-13,14:00,Samosa,1,20.0,Mobile Payment,2,Sunny,32,20
6502099451,2025-10-16,13:50,Salad,1,50.0,Card,4,Cloudy,31,50
6825128682,2025-10-03,12:10,Maggi,2,35.0,Card,3,Cloudy,24,70
6162249998,2025-10-13,14:10,Sandwich,1,45.0,Cash,4,Sunny,38,45
6351823374,2025-10-05,11:20,Coffee,2,25.0,Mobile Payment,3,Cloudy,24,50
7795014556,2025-10-18,12:05,Burger,1,55.0,Cash,3,Rainy,26,55
6329121277,2025-10-13,14:10,Salad,1,50.0,Card,5,Cloudy,26,50
8252410564,2025-10-27,11:50,Dosa,1,45.0,Mobile Payment,5,Sunny,36,45
7329832482,2025-10-25,12:10,Tea,1,10.0,Mobile Payment,2,Sunny,31,10
8789611836,2025-10-28,14:20,Salad,2,50.0,Card,5,Sunny,31,100
8887256394,2025-10-27,14:40,Salad,3,50.0,Cash,5,Rainy,28,150
7544948126,2025-10-15,11:50,Maggi,1,35.0,Cash,3,Sunny,31,35
8134332003,2025-10-31,13:25,Sandwich,1,45.0,Cash,3,Sunny,32,45
8890260127,2025-10-19,13:15,Burger,1,55.0,Mobile Payment,3,Cloudy,30,55
7494466574,2025-10-10,14:00,Samosa,1,20.0,Mobile Payment,4,Sunny,38,20
7816158148,2025-10-11,11:25,Drink,1,15.0,Mobile Payment,4,Cloudy,26,15
8895782911,2025-10-22,12:00,Tea,1,10.0,Cash,4,Cloudy,25,10
7323098215,2025-10-03,14:45,Dosa,1,45.0,Card,3,Sunny,35,45
6599706296,2025-10-22,12:10,Idli,1,30.0,Cash,3,Sunny,36,30
7588916375,2025-10-12,11:05,Idli,1,30.0,Card,4,Sunny,35,30
6826199062,2025-10-10,13:05,Sandwich,2,45.0,Cash,4,Cloudy,30,90
9908272318,2025-10-08,11:00,Salad,1,50.0,Cash,5,Rainy,27,50
6869782922,2025-10-17,11:55,Sandwich,1,45.0,Mobile Payment,2,Sunny,38,45
7827422579,2025-10-20,13:15,Drink,2,15.0,Mobile Payment,4,Cloudy,32,30
9603859770,2025-10-06,14:20,Drink,1,15.0,Cash,4,Sunny,33,15
6914858078,2025-10-24,12:15,Burger,1,55.0,Cash,5,Sunny,30,55
9436110371,2025-10-18,13:50,Tea,2,10.0,Cash,4,Sunny,36,20
9520744666,2025-10-20,13:45,Samosa,1,20.0,Mobile Payment,4,Cloudy,29,20
9430098180,2025-10-12,11:50,Idli,1,30.0,Cash,4,Rainy,26,30
7524191380,2025-10-19,12:55,Maggi,1,35.0,Card,5,Sunny,38,35
8262218909,2025-10-15,13:55,Tea,1,10.0,Card,5,Sunny,31,10
9418625652,2025-10-18,12:10,Idli,2,30.0,Cash,3,Cloudy,28,60
8969653287,2025-10-04,13:45,Samosa,1,20.0,Cash,1,Sunny,33,20
9947284639,2025-10-05,12:50,Salad,1,50.0,Cash,4,Cloudy,24,50
7945116868,2025-10-31,13:55,Samosa,1,20.0,Card,4,Sunny,32,20
7293183933,2025-10-14,14:00,Idli,2,30.0,Cash,5,Sunny,35,60
7858842474,2025-10-07,13:30,Dosa,2,45.0,Cash,3,Sunny,35,90
9136959440,2025-10-03,14:00,Salad,2,50.0,Card,2,Cloudy,28,100
9520744666,2025-10-28,11:50,Drink,2,15.0,Cash,4,Sunny,36,30
9189490580,2025-10-22,13:20,Tea,2,10.0,Mobile Payment,2,Sunny,36,20
8192832764,2025-10-26,14:20,Drink,1,15.0,Card,4,Rainy,25,15
9860259222,2025-10-24,12:05,Sandwich,1,45.0,Cash,3,Rainy,28,45
7406088356,2025-10-06,12:15,Coffee,1,25.0,Cash,4,Sunny,35,25
6219656523,2025-10-15,14:15,Dosa,1,45.0,Mobile Payment,4,Cloudy,25,45
7545991022,2025-10-29,11:05,Samosa,1,20.0,Card,3,Rainy,28,20
9762120216,2025-10-16,12:50,Sandwich,2,45.0,Mobile Payment,5,Sunny,33,90
9387571775,2025-10-27,12:05,Sandwich,1,45.0,Cash,3,Cloudy,25,45
8226752895,2025-10-07,14:00,Salad,2,50.0,Card,3,Sunny,35,100
7076810409,2025-10-14,14:10,Dosa,1,45.0,Card,4,Sunny,31,45
8858333945,2025-10-12,12:20,Samosa,2,20.0,Cash,3,Cloudy,29,40
6965569816,2025-10-15,12:25,Coffee,4,25.0,Mobile Payment,3,Sunny,38,100
8786103579,2025-10-30,13:55,Burger,1,55.0,Cash,2,Cloudy,29,55
8044271739,2025-10-27,12:40,Burger,1,55.0,Mobile Payment,4,Cloudy,31,55
9347143455,2025-10-16,13:00,Coffee,2,25.0,Cash,3,Rainy,20,50
8037589975,2025-10-27,14:35,Sandwich,2,45.0,Cash,3,Cloudy,26,90
6627204653,2025-10-26,12:50,Sandwich,2,45.0,Cash,4,Sunny,34,90
